Codigo,Periodo,Familia,Grado,Lcodigo,Descripcion,F.Inicio,F.Fin
FI17IFCSM2,2016/2017,IFC,2,SM,Técnico en Sistemas Microinformáticos y Redes (LOE),,
FI17IFCDW3,2016/2017,IFC,3,DW,Técnico Superior en Desarrollo de Aplicaciones Web (LOE) ,,
